RowNumber,Exited,P_Hat
1,1,0.122732057639827
2,0,0.162468213262958
3,1,0.323437191925198
4,0,0.224049685614699
5,0,0.159466092882866
6,1,0.250685297772769
7,0,0.0975777528580419
8,1,0.293388795320444
9,0,0.115084248042312
10,0,0.0365028195714849
11,0,0.122606114982095
12,0,0.0619587727555712
13,0,0.168380699925934
14,0,0.0978767033920575
15,0,0.0675932355110348
16,0,0.219395162290791
17,1,0.700724737950293
18,0,0.032396240311708
19,0,0.230563473490306
20,0,0.0291605946295767
21,0,0.0555604453944282
22,0,0.143974367418279
23,1,0.249191458071898
24,0,0.087220728618649
25,0,0.078817684652116
26,0,0.0216430099572249
27,0,0.129213372091163
28,0,0.190607172193302
29,0,0.317710509775102
30,0,0.0460411434354312
31,1,0.221017232719874
32,0,0.068486608243109
33,0,0.36724954650568
34,0,0.116899423919365
35,0,0.041065250110409
36,1,0.452706130608564
37,0,0.055799197153053
38,0,0.0484117442008283
39,0,0.0405017361394625
40,0,0.167203387415169
41,0,0.188650555119233
42,1,0.530789831539783
43,0,0.451626352844374
44,1,0.456491686016764
45,0,0.433597051880752
46,0,0.139578331356846
47,1,0.0996481094727844
48,1,0.232661116593671
49,0,0.163604222613087
50,0,0.4135127743139
51,0,0.392113450889453
52,0,0.297963404344575
53,0,0.141647667634924
54,1,0.378004455488058
55,1,0.429184043637227
56,0,0.113718755308528
57,0,0.284998544172657
58,0,0.115911189088983
59,1,0.717127385261672
60,0,0.17507683443309
61,0,0.280375770917387
62,0,0.246930343392573
63,0,0.148890370844338
64,0,0.224170161701865
65,0,0.071144409030185
66,0,0.178016076885102
67,0,0.41947072775609
68,0,0.166527192650898
69,0,0.178094670365689
70,0,0.0993459906421683
71,1,0.620553904269095
72,0,0.0719837997597839
73,0,0.126996006470359
74,0,0.0983453943135959
75,0,0.0444458189451693
76,0,0.0987208279677182
77,0,0.145520846463955
78,0,0.0549892692809831
79,0,0.0514359586662317
80,0,0.515697095527615
81,0,0.224734534760651
82,1,0.151347391504493
83,0,0.200004441952741
84,0,0.103302259187953
85,0,0.344816966417781
86,0,0.555323900649474
87,1,0.0699447468839115
88,0,0.07109953827309
89,1,0.301390854349358
90,0,0.118483525211819
91,1,0.114844092295487
